,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADM1_NAME,ADM2_NAME,ISO3,ADM1_PCODE,ADM2_PCODE,Coastal Erosion,Sea Level Rise,Historic Drought Frequency,Earthquake exposure,Deforestation - Treecover Loss,Soil Erosion,Flood exposure,Heatwave exposure,Landslide exposure,Lightning casualities,Cyclone exposure - max speed,Cyclone exposure,Storm exposure,Volcano exposure,Burned Area,Fire Weather Index,Animal Diseases,Plant Diseases,Pests,GCRI derived Conflict probability,Conflict Barometer,Hazardous Material,Number of Events,Number of Fatalities,Vehicle Accidents,Human Development Index,Multidimensional Poverty Index,Gender Development Index,Wealth Inequality,Net ODA received (% of GNI),Personal remittances,Dependency Ratio,Population in informal settlements,Number of homes in high-risk areas,Urban Population,Food Security - Insufficient food,Food Security - IPC Classification,Internal Displaced People,Refugees and asylum-seekers,Life Expectancy,Cholera Reported Cases,Malaria - mortality rate,Malaria prevalence,Measles Incidence,Tuberculosis Incidence,DST Prevalence,People living with disabilities,People living with chronic ilnesses,Neonatal mortality,Infant mortality,Child mortality,Children Underweight,People affected by natural disasters,Unemployed population (15 - 59 years old),Female headed households,Child headed households,Health expenditure per capita,BCG Immunization Coverage,DTP3 Immunization Coverage,Measles Immunization Coverage,Physicians density,Density of health facilities,Household income,International Wealth Index,Gross National Income per capita,People using at least basic sanitation services (% of population),People using at least basic drinking water services (% of population),Percentage of unpaved roads,Access to electricity,Internet access,Cellphone ownership,Mean years at school,Adult literacy rate,Sendai Framework for Action,Traditional Community Knowledge,Early Warning System,Government effectiveness,Subnational Corruption Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Min (if custom),-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Risk dependency sign,Decrease Risk,,Increase Risk,Increase Risk,Increase Risk,Increase Risk,Increase Risk,,Increase Risk,,Increase Risk,Increase Risk,Increase Risk,Increase Risk,Increase Risk,Increase Risk,,,,Increase Risk,Increase Risk,,Increase Risk,Increase Risk,,Decrease Risk,Increase Risk,Decrease Risk,Increase Risk,Increase Risk,Increase Risk,Increase Risk,Increase Risk,,Increase Risk,Increase Risk,,Increase Risk,,Decrease Risk,,,Increase Risk,Increase Risk,,,,,Increase Risk,Increase Risk,Increase Risk,Increase Risk,,,,,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,Decrease Risk,,Decrease Risk,Decrease Risk,Decrease Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Use indicator?,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,No,No,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Data Collected,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,Data Processed,Yes,No,ERROR,ERROR,ERROR,ERROR,ERROR,No,ERROR,No,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,No,No,No,ERROR,ERROR,No,ERROR,ERROR,No,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,No,ERROR,ERROR,ERROR,ERROR,No,ERROR,No,No,ERROR,ERROR,No,No,No,No,ERROR,ERROR,ERROR,ERROR,No,No,No,No,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,No,ERROR,No,ERROR,ERROR,ERROR,ERROR,No,ERROR,ERROR,ERROR,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,Average (pre-normalisation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Max (pre-normalisation),0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Min (pre-normalisation),-0.3,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Skewness (post-normalisation),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,Kurtosis (post-normalisation),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Dodoma,Kondoa,TZA,TZ01,TZ0101,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Dodoma,Mpwapwa,TZA,TZ01,TZ0102,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Dodoma,Kongwa,TZA,TZ01,TZ0103,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Dodoma,Chamwino,TZA,TZ01,TZ0104,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Dodoma,Dodoma Urban,TZA,TZ01,TZ0105,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Dodoma,Bahi,TZA,TZ01,TZ0106,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Dodoma,Chemba,TZA,TZ01,TZ0107,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
United Republic of Tanzania,Arusha,Monduli,TZA,TZ02,TZ0201,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
