ADM2_PCODE,ADM2_NAME,ADM1_PCODE,ADM1_NAME,COUNTRY,ISO3,ADMIN2_POPULATION,ADMIN2_AREA_SQ_KM,ADMIN2_GDP,ADMIN1_POPULATION,ADMIN1_AREA_SQ_KM,ADMIN1_GDP,ADMIN0_POPULATION,ADMIN0_AREA_SQ_KM,ADMIN0_GDP,,,,,,,,,,,,,,
TZ0507,Gairo,TZ05,Morogoro,United Republic of Tanzania,TZA,"301,279",,,"3,364,352",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0601,Bagamoyo,TZ06,Pwani,United Republic of Tanzania,TZA,"511,069",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0602,Kibaha,TZ06,Pwani,United Republic of Tanzania,TZA,"132,537",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0603,Kisarawe,TZ06,Pwani,United Republic of Tanzania,TZA,"127,191",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0604,Mkuranga,TZ06,Pwani,United Republic of Tanzania,TZA,"327,511",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0605,Rufiji,TZ06,Pwani,United Republic of Tanzania,TZA,"270,166",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0606,Mafia,TZ06,Pwani,United Republic of Tanzania,TZA,"58,771",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0607,Kibaha Urban,TZ06,Pwani,United Republic of Tanzania,TZA,"239,463",,,"1,666,708",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0701,Kinondoni,TZ07,Dar-es-salaam,United Republic of Tanzania,TZA,"3,236,907",,,"9,054,879",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0702,Ilala,TZ07,Dar-es-salaam,United Republic of Tanzania,TZA,"2,837,060",,,"9,054,879",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0703,Temeke,TZ07,Dar-es-salaam,United Republic of Tanzania,TZA,"2,980,913",,,"9,054,879",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0801,Kilwa,TZ08,Lindi,United Republic of Tanzania,TZA,"243,833",,,"1,093,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0802,Lindi,TZ08,Lindi,United Republic of Tanzania,TZA,"236,533",,,"1,093,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0803,Nachingwea,TZ08,Lindi,United Republic of Tanzania,TZA,"231,361",,,"1,093,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0804,Liwale,TZ08,Lindi,United Republic of Tanzania,TZA,"129,454",,,"1,093,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0805,Ruangwa,TZ08,Lindi,United Republic of Tanzania,TZA,"158,521",,,"1,093,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ0806,Lindi Urban,TZ08,Lindi,United Republic of Tanzania,TZA,"93,975",,,"1,093,677",0,0,71284371.86,0,0,,,,,,,,,,,,,,
