Dimension,,,,,,Hazards & Exposure,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2023,,2000 - 2022,2000-2022,"n/a

modelled future risk",1980-2018,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurament,,,,,,index,,meters / year,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,Manyoni,TZA,TZ13,TZ1303,0.921857331,No data,0.00,0.046968894,0.071,0.000155353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,Singida Urban,TZA,TZ13,TZ1304,0.999999999,No data,0.00,0.033519553,0.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,Ikungi,TZA,TZ13,TZ1305,0.999999966,No data,0.00,0.118920567,0.033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,Mkalama,TZA,TZ13,TZ1306,1.000000025,No data,0.00,0.012895662,0.021,0.000234346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Nzega,TZA,TZ14,TZ1401,0.837860206,No data,0.00,0.049773756,0.016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Igunga,TZA,TZ14,TZ1402,0.999999927,No data,0.00,0.01348504,0.044,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Uyui,TZA,TZ14,TZ1403,0.336258282,No data,0.00,0.113436584,0.034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Urambo,TZA,TZ14,TZ1404,0,No data,0.00,0.079001135,0.004,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Sikonge,TZA,TZ14,TZ1405,0.012086529,No data,0.00,0.036304246,0.011,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Tabora Urban,TZA,TZ14,TZ1406,0,No data,0.00,0.030224525,0.005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tabora,Kaliua,TZA,TZ14,TZ1407,0.004997798,No data,0.00,0.13283986,0.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Rukwa,Kalambo,TZA,TZ15,TZ1501,1.000000005,No data,0.00,0.11852021,0.008,0.075866443,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Rukwa,Sumbawanga,TZA,TZ15,TZ1502,0.999999922,No data,0.00,0.060033352,0.064,0.018495523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Rukwa,Nkasi,TZA,TZ15,TZ1503,1.000000036,No data,0.00,0.050428643,0.032,0.071383834,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Rukwa,Sumbawanga Urban,TZA,TZ15,TZ1504,1.000000069,No data,0.00,0.042281219,0.000,0.014046225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Kibondo,TZA,TZ16,TZ1601,0.000151657,No data,0.00,0.008719596,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Kasulu,TZA,TZ16,TZ1602,0.893045921,No data,0.00,0.09499402,0.005,2.17E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Kigoma,TZA,TZ16,TZ1603,0.999999958,No data,0.00,0.02173913,0.067,0.201816199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Kigoma  Urban,TZA,TZ16,TZ1604,0.999999993,No data,0.00,0.013333333,0.014,0.025199701,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Uvinza,TZA,TZ16,TZ1605,0.970889526,No data,0.00,0.07551121,0.107,0.108239021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Buhigwe,TZA,TZ16,TZ1606,0.999999993,No data,0.00,0.005794702,0.000,0.061543098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Kakonko,TZA,TZ16,TZ1607,0,No data,0.00,0.036353468,0.028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kigoma,Kasulu Township Authority,TZA,TZ16,TZ1608,0.99999998,No data,0.00,0.012244898,0.000,0.00173724,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Shinyanga,Shinyanga Urban,TZA,TZ17,TZ1701,0.999999939,No data,0.00,0,0.069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Shinyanga,Kishapu,TZA,TZ17,TZ1702,0.990466464,No data,0.00,0.000472367,0.069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Shinyanga,Shinyanga,TZA,TZ17,TZ1703,0.590281283,No data,0.00,0.001596169,0.018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Shinyanga,Kahama,TZA,TZ17,TZ1704,0.047031336,No data,0.00,0.035443518,0.009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Shinyanga,Kahama Township Authority,TZA,TZ17,TZ1705,0,No data,0.00,0.009750813,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Karagwe,TZA,TZ18,TZ1801,0,No data,0.00,0.01819995,0.014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Bukoba,TZA,TZ18,TZ1802,0,No data,0.00,0.033409263,0.106,0.028887574,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Muleba,TZA,TZ18,TZ1803,0,No data,0.00,0.037459864,0.097,0.086820961,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Biharamulo,TZA,TZ18,TZ1804,0,No data,0.00,0.038602329,0.005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Ngara,TZA,TZ18,TZ1805,0,No data,0.00,0.013677812,0.020,0.003395441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Bukoba Urban,TZA,TZ18,TZ1806,0,No data,0.00,0.015384615,0.106,0.004666326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Missenyi,TZA,TZ18,TZ1807,0,No data,0.00,0.023039433,0.059,0.002753293,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kagera,Kyerwa,TZA,TZ18,TZ1808,0,No data,0.00,0.01797862,0.032,0.002010211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Ukerewe,TZA,TZ19,TZ1901,0,No data,0.00,0.04,0.136,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Magu,TZA,TZ19,TZ1902,0,No data,0.00,0.003305785,0.038,0.004727684,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Nyamagana,TZA,TZ19,TZ1903,0,No data,0.00,0,0.006,0.004220721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Kwimba,TZA,TZ19,TZ1904,0.038802907,No data,0.00,0.002313922,0.005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Sengerema,TZA,TZ19,TZ1905,0,No data,0.00,0.03883876,0.091,0.123014199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Ilemela,TZA,TZ19,TZ1906,0,No data,0.00,0.009803922,0.056,0.01349403,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mwanza,Misungwi,TZA,TZ19,TZ1907,0,No data,0.00,0.00610998,0.013,0.001975454,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Tarime,TZA,TZ20,TZ2001,0.617122135,No data,0.00,0.02259887,0.002,0.00958453,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Serengeti,TZA,TZ20,TZ2002,0.000356572,No data,0.00,0.007098492,0.008,0.00331989,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Musoma,TZA,TZ20,TZ2003,0,No data,0.00,0.005903188,0.052,0.010109415,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Bunda,TZA,TZ20,TZ2004,0,No data,0.00,0.007539683,0.058,0.01590839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Musoma Urban,TZA,TZ20,TZ2005,0.602385166,No data,0.00,0.02173913,0.207,0.001914364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Rorya,TZA,TZ20,TZ2006,0.988582272,No data,0.00,0.006845053,0.029,0.016276857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mara,Butiam,TZA,TZ20,TZ2007,0.051939783,No data,0.00,0.013112885,0.016,0.010350538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,Babati,TZA,TZ21,TZ2101,0.999999967,No data,0.00,0.007044091,0.024,0.076744559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,Hanang,TZA,TZ21,TZ2102,0.999999965,No data,0.00,0.013049963,0.024,0.024909022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,Mbulu,TZA,TZ21,TZ2103,1.000000021,No data,0.00,0.007132132,0.002,0.055951023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,Simanjiro,TZA,TZ21,TZ2104,0.978351917,No data,0.00,0.001472031,0.131,0.007632537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,Kiteto,TZA,TZ21,TZ2105,0.825933062,No data,0.00,0.101095462,0.007,0.013765017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Manyara,Babati Urban,TZA,TZ21,TZ2106,1.000000042,No data,0.00,0.01369863,0.006,0.063203981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,Njombe Urban,TZA,TZ22,TZ2201,0.188639042,No data,0.00,0.205892794,0.002,0.072296684,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,Wanging'ombe,TZA,TZ22,TZ2202,0.059784872,No data,0.00,0.060797473,0.007,0.00857204,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,Makete,TZA,TZ22,TZ2203,0.947276822,No data,0.00,0.091357213,0.004,0.223322319,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,Njombe,TZA,TZ22,TZ2204,0,No data,0.00,0.17119371,0.000,0.129448712,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,Ludewa,TZA,TZ22,TZ2205,0.894874512,No data,0.00,0.060518732,0.010,0.178586854,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Njombe,Makambako Township Authority,TZA,TZ22,TZ2206,0,No data,0.00,0.071225071,0.000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Katavi,Mpanda Urban,TZA,TZ23,TZ2301,0.999999971,No data,0.00,0.091954023,0.022,3.20E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Katavi,Mpanda,TZA,TZ23,TZ2302,1.000000026,No data,0.00,0.056202532,0.021,0.032173659,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Katavi,Mlele,TZA,TZ23,TZ2303,0.877003323,No data,0.00,0.027763985,0.072,0.011682105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Simiyu,Bariadi,TZA,TZ24,TZ2401,0.00291981,No data,0.00,0.002421308,0.016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Simiyu,Itilima,TZA,TZ24,TZ2402,0.392535817,No data,0.00,0.000565291,0.002,0.000235352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Simiyu,Meatu,TZA,TZ24,TZ2403,0.999998733,No data,0.00,0.00137228,0.072,1.45E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Simiyu,Maswa,TZA,TZ24,TZ2404,0.884583839,No data,0.00,0.0012,0.006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Simiyu,Busega,TZA,TZ24,TZ2405,0,No data,0.00,0.014691479,0.057,0.000169643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Geita,Geita,TZA,TZ25,TZ2501,0,No data,0.00,0.041928721,0.032,0.005852556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Geita,Nyang'hwale,TZA,TZ25,TZ2502,0,No data,0.00,0.013843648,0.016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Geita,Mbogwe,TZA,TZ25,TZ2503,0,No data,0.00,0.068984857,0.004,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Geita,Bukombe,TZA,TZ25,TZ2504,0,No data,0.00,0.018544061,0.008,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Geita,Chato,TZA,TZ25,TZ2505,0,No data,0.00,0.052653061,0.064,0.003149283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Songwe,Songwe,TZA,TZ26,TZ2601,0.982782946,No data,0.00,0.04990615,0.081,0.018523086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Songwe,Ileje,TZA,TZ26,TZ2605,1.000000001,No data,0.00,0.087833442,0.002,0.271577077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Songwe,Mbozi,TZA,TZ26,TZ2606,0.999999981,No data,0.00,0.022910616,0.000,0.018385953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Songwe,Momba,TZA,TZ26,TZ2609,1.000000033,No data,0.00,0.094508976,0.068,0.003663198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Songwe,Tunduma,TZA,TZ26,TZ2610,1.000000067,No data,0.00,0.081081081,0.000,0.108791208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kaskazini Unguja,Kaskazini A,TZA,TZ51,TZ5101,0,0.186426371,0.00,0.245989305,0.000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kaskazini Unguja,Kaskazini B,TZA,TZ51,TZ5102,0,0.259836066,0.00,0.151832461,0.029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kusini Unguja,Kati,TZA,TZ52,TZ5201,0,0.761189157,0.00,0.216346154,0.009,0.01193387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kusini Unguja,Kusini,TZA,TZ52,TZ5202,0,0.570867898,0.00,0.366013072,0.023,0.003488159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mjini Magharibi,Magharibi,TZA,TZ53,TZ5301,0,0.591888317,0.00,0.137142857,0.006,0.009210009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mjini Magharibi,Mjini,TZA,TZ53,TZ5302,0,0.934518072,0.00,0.125,0.029,0.011582492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kaskazini Pemba,Wete,TZA,TZ54,TZ5401,0,0.418470498,0.00,0.161572052,0.075,0.013467354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kaskazini Pemba,Micheweni,TZA,TZ54,TZ5402,0,0.122650539,0.00,0.105555556,0.017,0.003451889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kusini Pemba,Chake Chake,TZA,TZ55,TZ5501,0,0.444573418,0.00,0.074712644,0.040,0.008384531,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kusini Pemba,Mkoani,TZA,TZ55,TZ5502,0,0.676113266,0.00,0.073529412,0.058,0.003726572,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
