Dimension,,,,,,Hazards & Exposure,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2023,,2000 - 2022,2000-2022,"n/a

modelled future risk",1980-2018,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurament,,,,,,index,,meters / year,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kilimanjaro,Same,TZA,TZ03,TZ0303,0.999999996,No data,0.00,0.010526316,0.057,0.284439086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kilimanjaro,Moshi,TZA,TZ03,TZ0304,1.000000055,No data,0.00,0.003571429,0.031,0.112078078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kilimanjaro,Hai,TZA,TZ03,TZ0305,0.999999924,No data,0.00,0.004761905,0.015,0.066054472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kilimanjaro,Moshi Urban,TZA,TZ03,TZ0306,0.999999981,No data,0.00,0,0.000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Kilimanjaro,Siha,TZA,TZ03,TZ0307,1.000000018,No data,0.00,0.022277228,0.000,0.029565646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Lushoto,TZA,TZ04,TZ0401,0.999999995,No data,0.00,0.026315789,0.002,0.164168257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Korogwe,TZA,TZ04,TZ0402,0.792236045,No data,0.00,0.019575177,0.102,0.216724309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Muheza,TZA,TZ04,TZ0403,0.06448091,0.351576763,0.00,0.140994295,0.019,0.034791003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Tanga Urban,TZA,TZ04,TZ0404,0,1.130929525,0.00,0.102766798,0.036,0.005084838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Pangani,TZA,TZ04,TZ0405,0,0.192019318,0.00,0.072866065,0.279,0.016678036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Handeni,TZA,TZ04,TZ0406,0,No data,0.00,0.092068254,0.008,0.002509626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Kilindi,TZA,TZ04,TZ0407,0,No data,0.00,0.077820268,0.007,0.064549376,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Mkinga,TZA,TZ04,TZ0408,0.578484379,0.361216462,0.00,0.059405941,0.041,0.005677219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Korogwe Township Authority,TZA,TZ04,TZ0409,0.013956646,No data,0.00,0.028089888,0.165,0.067172292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Tanga,Handeni Mji,TZA,TZ04,TZ0410,0,No data,0.00,0.069321534,0.003,0.001213478,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Morogoro,Kilosa,TZA,TZ05,TZ0501,0.573806984,No data,0.00,0.05875,0.052,0.15221607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
